Name,Timestamp,Status,Description,Vibration Frequency,Vibration Amplitude,Bearing Temperature,Motor Temperature,Belt Load,Torque,Noise Levels,Current and Voltage,Hydraulic Pressure,Belt Thickness,Roller Condition
Conveyor Belt 4,8/15/2023 0:00,Running,,1490.82,0.04,77.13,96.902,1.36,318.07,55.12,15.79,382.09,1.58,86
Conveyor Belt 4,8/15/2023 0:15,Running,,1498.37,0.04,77.076,ERROR,1.07,295.5,59.68,14.34,376.48,,85.854
Conveyor Belt 4,8/15/2023 0:30,Running,,1503.22,0.06,77.307,96.755,1.21,314.38,58.2,15.03,384.2,1.57925,85.781
Conveyor Belt 4,8/15/2023 0:45,Running,,nan,0.04,77.474,97.661,nan,311.84,56.16,15.43,379.79,1.579,85.708
Conveyor Belt 4,8/15/2023 1:00,Running,,1498.13,0.06,77.785,97.471,1.07,317.14,55.39,14.35,383.95,1.57875,85.635
Conveyor Belt 4,8/15/2023 1:15,Running,,1494.89,0.05,77.813,97.814,1.33,305.58,62.25,15.65,383.02,1.5785,85.562
Conveyor Belt 4,8/15/2023 1:30,,,1498.2,ERROR,77.622,97.464,1.18,285.96,59.25,14.91,383.54,1.57825,85.489
Conveyor Belt 4,8/15/2023 1:45,Running,,1507.17,0.06,78.487,98.139,1.24,298.84,58.93,15.21,377.37,1.578,85.416
Conveyor Belt 4,8/15/2023 2:00,Running,,1507.43,0.06,78.294,97.877,1.07,307.51,61.77,14.36,nan,1.57775,85.343
Conveyor Belt 4,8/15/2023 2:15,Running,,1502.35,0.05,78.561,98.96,1.17,308.73,62.23,14.87,377.47,1.5775,85.27
Conveyor Belt 4,8/15/2023 2:30,Running,,1507.39,0.05,78.848,98.676,1.18,312.55,61.44,14.89,383.94,1.57725,85.197
Conveyor Belt 4,8/15/2023 2:45,Running,,1504.49,0.05,78.603,99.41,1.32,293.46,63.05,15.58,384.45,1.577,85.124
Conveyor Belt 4,8/15/2023 3:00,Maintenance,Clean the Conveyor,1490,0.04,60,80,1,280,55,14,375,1.577,85.124
Conveyor Belt 4,8/15/2023 3:15,Maintenance,Check for Damage,1490,0.04,60,80,1,280,55,14,375,1.577,85.124
Conveyor Belt 4,8/15/2023 3:30,Maintenance,Check for Misalignment,1490,0.04,60,80,1,280,55,14,375,1.577,85.124
Conveyor Belt 4,8/15/2023 3:45,Maintenance,Check Belt Tension,1490,0.04,60,80,1,280,55,14,375,1.577,85.124
Conveyor Belt 4,8/15/2023 4:00,Maintenance,Examine Belt Joints,1490,0.04,60,80,1,280,55,14,375,1.577,85.124
Conveyor Belt 4,8/15/2023 4:15,Maintenance,Inspect Safety Guards,1490,0.04,60,80,1,280,55,14,375,1.577,85.124
Conveyor Belt 4,8/15/2023 4:30,Maintenance,Check Belt Cleaners and Scrapers,1490,0.04,60,80,1,280,55,14,375,1.577,85.124
Conveyor Belt 4,8/15/2023 4:45,Running,,1497.61,0.04,60.039,80.197,1.31,283.41,58.03,15.53,381.71,1.57675,85.051
Conveyor Belt 4,8/15/2023 5:00,Running,,1502.78,0.05,60.82,80.187,1.24,318.5,58.66,15.21,382.02,1.5765,84.978
Conveyor Belt 4,8/15/2023 5:15,Running,,1492.64,0.05,60.631,80.033,1.37,308.61,58.19,15.87,383.58,1.57625,84.905
Conveyor Belt 4,8/15/2023 5:30,Running,,1494.29,0.05,60.636,80.606,1.39,303.8,55.75,15.97,375.78,1.576,84.832
Conveyor Belt 4,8/15/2023 5:45,Running,,1502.74,0.05,60.899,80.76,1.06,299.1,60.6,14.29,384.55,1.57575,84.759
Conveyor Belt 4,8/15/2023 6:00,Running,,1498.91,0.04,61.513,80.798,1.16,286.42,64.25,14.81,379.14,1.5755,84.686
Conveyor Belt 4,8/15/2023 6:15,Running,,1500.43,0.05,61.767,81.078,1.21,287.82,64.83,15.05,384.57,1.57525,84.613
Conveyor Belt 4,8/15/2023 6:30,Running,,1492.73,0.06,61.631,81.415,1.07,285.96,57.92,14.33,nan,1.575,84.54
Conveyor Belt 4,8/15/2023 6:45,Running,,1503.17,0.05,62.597,81.563,1.14,315.87,62.16,14.69,378,1.57475,84.467
Conveyor Belt 4,8/15/2023 7:00,Running,,1503.54,0.05,62.565,82.127,,315.21,61.04,15.18,376.93,1.5745,84.394
Conveyor Belt 4,8/15/2023 7:15,Running,,1499.35,0.05,62.445,81.725,1.12,281.15,61.96,14.6,379.75,1.57425,84.321
Conveyor Belt 4,8/15/2023 7:30,Running,,1495.89,0.06,63.05,82.251,1.29,287.37,62.94,15.47,382.08,1.574,84.248
Conveyor Belt 4,8/15/2023 7:45,Running,,1503.74,0.04,62.924,82.46,1.1,313.67,64.95,14.49,377.86,1.57375,84.175
Conveyor Belt 4,8/15/2023 8:00,Running,,1491.18,0.05,62.737,83.116,1.1,nan,64.83,14.49,381.79,1.5735,84.102
Conveyor Belt 4,8/15/2023 8:15,Running,,1509.18,0.05,63.273,82.627,1.22,304.26,58.49,15.09,376.82,1.57325,84.029
Conveyor Belt 4,8/15/2023 8:30,Running,,1493.95,0.04,64.012,82.917,1.15,308.74,62.64,14.76,383.19,1.573,83.956
Conveyor Belt 4,8/15/2023 8:45,Running,,1494.47,0.1,63.926,83.494,1.38,292.21,77.66,15.88,379.49,1.57275,83.883
Conveyor Belt 4,8/15/2023 9:00,Running,,1493.22,0.06,64.396,83.138,1.34,313.87,59.02,15.69,377.59,1.5725,83.81
Conveyor Belt 4,8/15/2023 9:15,Running,,1503.72,0.08,64.518,83.912,1.03,297.8,85.15,14.13,383.91,1.57225,83.737
